YB,DIAM,MASS,L_BOL,LM,TEMP,LRATIO,T_BOL,SURF_DENS,F8,e_F8,F12,e_F12,F24,e_F24,F70,e_F70,F160,e_F160,F250,e_F250,F350,e_F350,F500,e_F500,F870,e_F870,F1100,e_F1100,DIST,N8,N12,N24,N70,f_MULTI,f_CEXT
3338,0.367,17.50957,28.28469,1.615384615,15.9,18.5,24.69,0.04,,,0.0242,0.3821,0.0383,0.4774,,,3.129,0.093959731,3.48,0.088793099,1.543,0.051198967,0.623,0.036918137,,,,,3.67,5,5,5,5,0,0
3339,0.97741784,125.7605061,578.7073927,4.601662404,16,53,42.46,0.03,0.1209,0.5362,0.0554,0.1565,0.0662,0.2379,1.8881,0.1923,5.406,0.055308915,5.934,0.063363665,2.096,0.065362595,1.212,0.066831686,,,,,7.64,5,5,5,5,0,0
3340,1.51057634,1018.004148,1349.003299,1.325145189,12.6,28.5,42.93,0.12,,,0.1349,0.3883,0.1142,0.4448,3.0163,0.3279,5.44,0.1205882386249654,11.488,0.033426184,6.289,0.06678327,3.415,0.04421669,,,,,8.84,5,5,5,5,0,0
3341,1.254513274,2352.828631,21210.61467,9.014942435,16.4,99.8,50.1,0.4,1.5394,0.4154,0.5102,0.3701,6.2339,0.2642,61.502,0.2416,83.901,0.1362200677085835,71.915,0.090495723,33.929,0.061157122,15.387,0.04367323,,,,,8.86,5,5,5,5,0,0
3342,0.6657082,550.6128936,474.5508957,0.861859396,12.6,18.6,36.72,0.33,0.0382,0.1106,0.014,0.4487,0.052,0.291,0.8571,0.1551,3.656,0.033916848,6.488,0.048551171,3.043,0.07821229,1.958,0.07967314,,,,,8.93,5,5,5,5,1,0
3343,0.1955,33.63382,484.63277,14.40909091,20.1,6.9,52.37,0.25,,,0.0256,0.1385,0.2704,0.4239,,,12.18,0.043678161,11.603,0.010686891,3.16,0.031329114,1.731,0.101097636,,,,,3.91,5,5,5,5,0,0
3344,0.6272,245.8624,808.27264,3.2875,15.2,2.9,47.79,0.17,0.7389,0.4169,0.1988,0.2234,0.4086,0.394,10.6102,0.3096,26.416,0.06268928,41.272,0.043903858,13.38,0.058370702,,,,,,,3.92,5,5,5,5,1,0
3345,0.58,294.6,2141.1,7.267820774,17.1,72,51.26,0.23,0.4156,0.0495,0.2374,0.3015,1.0361,0.1356,7.179,0.1612,11.767,0.034503271,13.954,0.033037122,4.584,0.14856021,1.714,0.03908985,,,,,9.05,5,5,5,5,0,0
3346,0.50013986,678.951102,14640.12243,21.56285244,21.5,133.8,48.23,0.71,0.2761,0.4638,0.1884,0.2088,3.1467,0.0268,65.3894,0.078,77.256,0.01799213,62.665,0.022851672,17.382,0.02732712,7.527,0.19941545,1.05,,,,8.94,5,5,5,5,0,0
3348,0.969235096,928.7994406,9069.612558,9.764877283,17.5,92,50,0.26,1.3741,0.324,0.6579,0.0889,2.4391,0.0782,46.7893,0.0676,43.284,0.058543571,40.684,0.040728541,15.491,0.028016265,6.828,0.034270648,,,,,9.07,5,5,5,5,0,0
